,GeneralRanking,Surname First name Club / Team,Cat.,Class.Cat.,Time,Difference/ 1st,Nationality
51,52,603  - BOURGEOIS Ludovic Team Running Conseil JURA,SEH,37,26:36:57,07:35:03,FR
52,53,117  - BARD Christelle,SEF,1,26:39:03,07:37:09,FR
53,54,167  - MATSUNAGA Hiroaki THE NORTH FACE,SEH,38,26:46:10,07:44:16,JP
54,55,88  - DI GIACOMO Fabio RUNNERS VALBOSSA AZZATE - SOJO VASARO TRAIL TEAM,SEH,39,26:50:07,07:48:13,IT
55,56,135  - LEFRANC Julien,SEH,40,26:50:37,07:48:43,FR
56,57,600  - NIBLACK David,SEH,41,26:53:57,07:52:03,US
57,58,49  - ROVERA René TEAM GARMIN ADVENTURE,V1H,13,26:56:55,07:55:01,FR
58,59,140  - LAVY Jeremy,SEH,42,26:57:46,07:55:52,FR
59,60,569  - GRAIRI Emir ESTY,SEH,43,27:05:25,08:03:31,TN
60,61,630  - PUENTE PELAYO Diego CERREDO 643,V1H,14,27:16:07,08:14:13,ES
61,62,584  - GOMEZ IRIBERRI Alejandro CERREDO 643,V1H,15,27:16:09,08:14:15,ES
62,63,598  - CHOROS Piotr Stay Insane/Banda Grudnia,SEH,44,27:22:51,08:20:57,PL
63,64,617  - BILLET Jean Marc TERRE DE RUNNING ALBERTVILLE / LEMAN TRIATHLON CLUB,SEH,45,27:23:47,08:21:53,FR
64,65,671  - LASARTE Mikel SOC. EXC. MANUEL IRADIER,SEH,46,27:25:00,08:23:06,ES
65,66,128  - HERRERO Albert ULTRA LLEIDA,SEH,47,27:26:43,08:24:49,ES
66,67,591  - BARTHÉLÉMY Marc RUNNING CLUB ARPAJON/TEAM UTPMA,SEH,48,27:31:14,08:29:20,FR
67,68,148  - NIWA Kaori SALOMON,V1F,3,27:31:39,08:29:45,JP
68,69,666  - EWALD Jean-Baptiste,SEH,49,27:35:54,08:34:00,FR
69,70,2911  - QIYUN Guo LASPORTIVA CHINA CLUB,SEH,50,27:39:21,08:37:27,CN
70,71,578  - TOLSTENKO Aleksei TRAIL RUNNING SCHOOL,SEH,51,27:45:57,08:44:03,RU
71,72,409  - BIELAWA Rafal WWW.IECO.PL,V1H,16,27:47:59,08:46:05,PL
72,73,111  - VIEUX Florian CA DENTS DU MIDI,SEH,52,27:51:48,08:49:54,CH
73,74,126  - CATALAN Iñaki ERLAITZ M.E.,V1H,17,27:54:22,08:52:28,ES
74,75,623  - NODA Takeshi TEAM 100 MILE,SEH,53,27:54:54,08:53:00,JP
75,76,695  - LECANU Alexis LYON MOUNTAIN TRAIL,SEH,54,27:58:48,08:56:54,FR
76,77,567  - ROBERTSHAW Thomas,SEH,55,28:00:09,08:58:15,GB
77,78,77  - JAQUA Nate,SEH,56,28:03:10,09:01:16,US
78,78,133  - BUCKLIN Benjamin SPOKANE DISTANCE PROJECT,SEH,56,28:03:10,09:01:16,US
79,80,772  - GONZALEZ IRUSTA Angel CERRAJERIA JUANCHU TEAM -REND&PREV,V1H,18,28:03:44,09:01:50,ES
80,81,650  - SPAGNOL Gilles NCAA,V2H,2,28:05:28,09:03:34,FR
81,82,646  - MARTÍNEZ FERNANDEZ José Luis CORREMON TRAIL,SEH,58,28:05:58,09:04:04,ES
82,83,2857  - BOLSOY Bjorn Andre RISKA TRAIL RUNNERS,V1H,19,28:07:52,09:05:58,NO
83,84,146  - LUJAN MALDONADO Agustin ALPINO BENALMADENA IRONTRIATH,SEH,59,28:12:48,09:10:54,ES
84,85,56  - EMMERSON Kellie,SEF,2,28:13:06,09:11:12,AU
85,86,25  - ST LAURENT Alissa,SEF,3,28:13:43,09:11:49,CA
86,87,721  - SHEN Jianfeng SJB INSTITUTE,V1H,20,28:14:30,09:12:36,CN
87,88,601  - ITURRALDE MANCISIDOR Roberto ALPINO TABIRA,V1H,21,28:16:50,09:14:56,ES
88,89,102  - DIBOUN Yassine,SEH,60,28:17:14,09:15:20,US
89,90,602  - LECAUCHOIS Yoann COTENTRAIL,SEH,61,28:17:48,09:15:54,FR
90,91,96  - NOURRY Yann TEAM TRACE DE TRAIL,SEH,62,28:20:22,09:18:28,FR
91,92,604  - VARASIN Phairat,SEH,63,28:22:53,09:20:59,TH
92,93,594  - WATSON Anna-Marie WAA,SEF,4,28:37:16,09:35:22,GB
93,94,658  - JAY Romain,SEH,64,28:38:38,09:36:44,FR
94,95,606  - OVERNEY Thierry FREEADVENTURE,V1H,22,28:41:32,09:39:38,CH
95,96,80  - SPROSTON Amy,V1F,4,28:44:08,09:42:14,US
96,97,2890  - GARCIA PEREZ Agustín INTERSPORT NUTRIFORMA,SEH,65,28:46:39,09:44:45,ES
97,98,149  - IINO Wataru RAIDLIGHT,SEH,66,28:47:06,09:45:12,JP
98,99,619  - MACHADO MORENO Hildebrando,V2H,3,28:48:59,09:47:05,CO
99,100,782  - TOMIZUKA Shosuke TRIPPERS,SEH,67,28:49:58,09:48:04,JP
100,101,885  - MEREDITH Joel,V1H,23,28:50:16,09:48:22,US
101,102,750  - RUIZ MARTINEZ Carlos ISB NU Team,SEH,68,28:51:25,09:49:31,ES
102,103,637  - CARVALHO DA MOTA Luis Carlos Team La Sportiva/ GoldNutrition/ CASA DO BENFICA EM ABRANTES,V1H,24,28:55:10,09:53:16,PT
103,104,758  - MONJE PUIGDENGOLAS Oscar ISB NU TEAM,SEH,69,28:55:35,09:53:41,ES
104,105,774  - BERRUER Eric,V1H,25,28:58:06,09:56:12,FR
105,106,645  - LORINCZ Oliver COACHOLI,V1H,26,28:59:04,09:57:10,HU
106,107,611  - OLIVIER Florian TEAM CIMALP,SEH,70,29:00:35,09:58:41,FR
107,108,587  - DUPRAZ Benoit RRUN LYON - TRAILEURS DES MONTS D'OR,SEH,71,29:00:39,09:58:45,FR
108,109,731  - COUDERT Laurent TEAM ALTIPLANO,SEH,72,29:03:34,10:01:40,FR
109,110,613  - NIKOLOVA Maria,SEF,5,29:04:16,10:02:22,BG
110,111,752  - CASTEL Rene STGOMRCO,SEH,73,29:09:56,10:08:02,CL
111,112,1279  - KOT Vladimir VENTO,SEH,74,29:11:42,10:09:48,RU
112,113,914  - FRIES Stellan,V1H,27,29:12:13,10:10:19,SE
113,114,771  - GOMEZ Enric ISB NU TEAM,SEH,75,29:13:37,10:11:43,ES
114,115,799  - BORGES Joao,SEH,76,29:13:49,10:11:55,PT
115,116,737  - ESPALIEU Cyril SALOMON,SEH,77,29:23:01,10:21:07,FR
116,117,1063  - DE LA LLAVE CATARINO Miguel CAES D´AVENIDA,V1H,28,29:30:04,10:28:10,PT
117,118,738  - RODRIGUEZ FERNANDEZ Jose Antonio FALCOTRAIL CEHEGIN,SEH,78,29:31:35,10:29:41,ES
118,119,643  - RODRIGUEZ CASTRO Alberto CD ARISTA,V1H,29,29:33:37,10:31:43,ES
119,120,99  - BRUINS Robyn NRG,SEF,6,29:41:11,10:39:17,AU
120,121,1070  - DIAZ CORDOBES Jose Luis CORREMON TRAIL,SEH,79,29:42:33,10:40:39,ES
121,122,693  - VIEIRA Flávio CLUBE DE MONTANHA DO FUNCHAL,SEH,80,29:43:46,10:41:52,PT
122,123,989  - VIEIRA Nelson CLUBE DE MONTANHA DO FUNCHAL,V1H,30,29:43:47,10:41:53,PT
123,124,1143  - CHROMIK Michael Gregor,SEH,81,29:49:42,10:47:48,DE
124,125,1162  - LUCAS-FROST Jonathan,V1H,31,29:52:32,10:50:38,GB
125,126,79  - NIMES PEREZ Teresa COMPRESSPORT INTERNATIONAL,SEF,7,29:53:26,10:51:32,ES
126,127,168  - CARCANO Gaetano US PINDEMONTE,V1H,32,29:55:38,10:53:44,IT
127,128,1221  - MESKELL Brian,SEH,82,29:56:22,10:54:28,IE
128,129,406  - MA Yanxing SJB INSTITUTE,V1F,5,29:56:40,10:54:46,CN
129,130,86  - DOBERT Steeve GAM,SEH,83,30:00:46,10:58:52,FR
130,131,1060  - SITNIKOV Artem WAA TEAM,SEH,84,30:02:22,11:00:28,RU
131,132,596  - FÖRSTER Basilia,SEF,8,30:09:03,11:07:09,IT
132,133,125  - BAYKOVA Yulia TEAM VIBRAM,SEF,9,30:09:43,11:07:49,RU
133,134,655  - CRUZ HUERTAS Ruben TRAIL RUNNING GIRONA - CE BELLCAIRENC,V1H,33,30:12:18,11:10:24,ES
134,134,784  - ENGUIX GIMENEZ Salvador SUTRAIL,V1H,33,30:12:18,11:10:24,ES
135,136,1159  - ANGHEL Costica RO CLUB MARATON,V2H,4,30:13:01,11:11:07,RO
136,137,654  - ZUPAN Klemen,SEH,85,30:14:50,11:12:56,SI
137,138,2925  - WEIDMAN William VHTRC,SEH,86,30:17:09,11:15:15,US
138,139,1014  - REYES GRADOS Miguel UNIO ATLETICA TERRASSA,V1H,35,30:18:35,11:16:41,ES
139,140,610  - RODRIGUEZ BAÑARES Mario,SEH,87,30:20:42,11:18:48,ES
140,141,581  - RODRIGUEZ GOMEZ Jose Manuel,V1H,36,30:20:44,11:18:50,ES
141,142,575  - FRAILE Jesus SEGURARTIC-CATALANA OCC,V1H,37,30:27:33,11:25:39,ES
142,143,831  - BRAGHINI Danilo LIBERAVVENTURA,V2H,5,30:29:09,11:27:15,IT
143,144,139  - GRANT Sophie,SEF,10,30:29:17,11:27:23,GB
144,145,26  - HOWE Stephanie THE NORTH FACE,SEF,11,30:29:18,11:27:24,US
145,146,1003  - SANCHEZ DEL PINO Antonio TRAILRUNNERS AVANZA JAEN,V1H,38,30:29:38,11:27:44,ES
146,147,836  - JUVALA Markus SAMBA TRAIL RUNNING CLUB,V1H,39,30:34:57,11:33:03,FI
147,148,968  - HOCQUAUX Christian AVPR,V1H,40,30:36:43,11:34:49,FR
148,149,653  - FERNANDES Nuno CLUBE ATLETISMO FAFE,SEH,88,30:38:06,11:36:12,PT
149,150,881  - GARCIA DEL CASTILLO Ignacio COYOTES TENERIFE TRAIL,V1H,41,30:38:43,11:36:49,ES
150,151,661  - PRIMAULT Cedric TEAM RHUNERS,SEH,89,30:41:08,11:39:14,FR
151,152,1414  - DELGADO Jesus Angel,V1H,42,30:41:40,11:39:46,ES
152,153,701  - EPALE Tanguy,V1H,43,30:41:48,11:39:54,FR
153,154,729  - ZETENYI András,SEH,90,30:42:05,11:40:11,HU
154,155,820  - KAMENDY Marian STEFANIKTRAIL.SK,V1H,44,30:45:51,11:43:57,SK
155,156,1164  - STEHLIK Michal BERNOSPORT.SK,ESH,1,30:45:53,11:43:59,SK
156,157,874  - ROCHA Michael,SEH,91,30:57:09,11:55:15,FR
157,158,857  - DARRIEUTORT Xavier,V1H,45,30:57:57,11:56:03,FR
158,159,724  - GIORDANO Ivan HERBALIFE,SEH,92,31:01:00,11:59:06,IT
159,160,1086  - SANCHIARELLI Frederic 2AS CLUB D'ATHLETISME BELLEU,SEH,93,31:03:36,12:01:42,FR
160,161,725  - MCARTHUR Brian RED DEER RUNNERS,V1H,46,31:08:29,12:06:35,CA
161,162,903  - REDONDO VIDAL Ivan,SEH,94,31:10:02,12:08:08,ES
162,162,1483  - MAJCHRZAK Rafał IRON ERFEL ULTRA TRAIL,ESH,2,31:10:02,12:08:08,PL
163,164,1223  - SUAREZ FERNANDEZ Antonio Jose,V1H,47,31:10:37,12:08:43,ES
164,165,60  - BASHAM Amanda,SEF,12,31:10:51,12:08:57,US
165,165,781  - SRNIK Mario,SEH,95,31:10:51,12:08:57,CA
166,167,23  - LICKTEIG Kaci,SEF,13,31:10:52,12:08:58,US
167,168,19  - BOULET Magdalena,V1F,6,31:10:53,12:08:59,US
168,169,171  - CALMETTES Guillaume,SEH,96,31:11:59,12:10:05,FR
169,170,688  - BERTODO Fulvio,V1H,48,31:12:09,12:10:15,IT
170,171,615  - ZUPAN Primož,SEH,97,31:13:09,12:11:15,SI
171,172,690  - LEBRAY David,V1H,49,31:16:44,12:14:50,FR
172,173,766  - MARITEAU David EA VILLEFRANCHE,V1H,50,31:23:16,12:21:22,FR
173,174,668  - ROESSLER Benedikt,SEH,98,31:27:09,12:25:15,CH
174,175,411  - EGIGUREN ITURRALDE Jokin YOKO KIROLAK TRAIL TALDEA,V1H,51,31:29:35,12:27:41,ES
175,176,1394  - RIZZO CASCIO Fabio,SEH,99,31:30:10,12:28:16,IT
176,177,1145  - SAGNES Nicolas,V1H,52,31:32:16,12:30:22,FR
177,178,883  - MITRANI Sebastien,SEH,100,31:33:50,12:31:56,FR
178,179,677  - HUILLET Stephane TEAM RHUNERS SARA KORRIKA,V1H,53,31:34:09,12:32:15,FR
179,180,684  - ROBINSON Bernard,V1H,54,31:35:31,12:33:37,NZ
180,181,1034  - ZOUARI Guillaume,SEH,101,31:36:13,12:34:19,FR
181,182,776  - DUVERT David EA MACON,SEH,102,31:36:48,12:34:54,FR
182,183,1022  - FRAILE AZPEITIA Lander CLUB VASCO DE CAMPING,V1H,55,31:38:00,12:36:06,ES
183,184,779  - LARENA Javier,V1H,56,31:39:08,12:37:14,ES
184,185,2858  - BONILLA Francisco ES PUIG,V1H,57,31:39:53,12:37:59,ES
185,186,708  - DE MARCO Matthieu Macadam07 Champis,V1H,58,31:40:36,12:38:42,FR
186,187,1047  - MARCONI Luca,SEH,103,31:40:44,12:38:50,IT
187,188,727  - NOVOA RODRÍGUEZ Gonzalo,SEH,104,31:41:28,12:39:34,ES
188,189,608  - MCKAY Caroline,SEF,14,31:42:13,12:40:19,GB
189,190,853  - VICENTE BLANCO Jesus ASS. EXC. CORNUDELLA DE MONTSANT,V1H,59,31:42:15,12:40:21,ES
190,191,609  - GUILCOU Michel SPUC LASTERKA,SEH,105,31:42:28,12:40:34,FR
191,192,991  - TENA José Antonio GRUPO GREDOS,V1H,60,31:42:58,12:41:04,ES
192,193,1058  - PSICA Karl CH'TRAILER TEAM 62,SEH,106,31:44:42,12:42:48,FR
193,194,899  - MONCANUT Baptiste,V1H,61,31:44:52,12:42:58,FR
194,195,453  - BRIVIO Alessandro SPORT E SPORTIVI,V2H,6,31:45:50,12:43:56,IT
195,196,687  - BRETON Eric,V1H,62,31:47:22,12:45:28,CA
196,197,845  - BRENNWALD Alex SWISS ULTRA TRAIL,SEH,107,31:48:25,12:46:31,CH
197,198,1112  - ADAM Philipp LANDAU RUNNING COMPANY,SEH,108,31:48:35,12:46:41,DE
198,199,169  - ESCUDERO Israel,SEH,109,31:51:19,12:49:25,AR
199,200,1032  - NIERADKA Pierre,SEH,110,31:52:42,12:50:48,FR
200,201,660  - POOLE James AR TRAIL TEAM,V1H,63,31:53:47,12:51:53,GB
201,202,170  - VERJEE Sabrina,SEF,15,31:53:57,12:52:03,GB
202,203,1430  - IDASIK Alexandre DSA,SEH,111,31:54:26,12:52:32,FR
203,204,118  - BERRY Tara VANCOUVER FALCONS ATHLETIC CLUB,SEF,16,31:56:55,12:55:01,CA
204,205,607  - MARTIN Brook TRAILBLAZERS AUSTRALIA,V1F,7,31:57:30,12:55:36,AU
205,206,472  - TABAREAU Nicolas TEAM ENDURANCE SHOP,SEH,112,31:57:46,12:55:52,FR
206,207,137  - MCRAE Sally NIKE,SEF,17,31:58:47,12:56:53,US
207,208,1122  - RACZAK Maciej NIGHT RUNNERS KATOWICE,SEH,113,31:58:54,12:57:00,PL
208,209,1098  - CHICO SANCHEZ Luis Javier,SEH,114,32:00:07,12:58:13,ES
209,210,1066  - BOKMAN Jakob STUREBY,V2H,7,32:00:38,12:58:44,SE
210,211,1219  - BOURGAIN Loic TEAM DAVID,SEH,115,32:02:55,13:01:01,FR
211,212,858  - TSURUMI Hidenari THUMBS UP,V1H,64,32:03:11,13:01:17,JP
212,213,624  - TEUSCHER Christof,V1H,65,32:03:55,13:02:01,US
213,214,572  - SAUERZAPF Volker LC RUNNING PUCHBERG,V1H,66,32:04:34,13:02:40,AT
214,215,805  - VAN BINSBERGEN Arjan B-CAT HIGH ALTITUDE TRAIL RUNNING,V1H,67,32:04:39,13:02:45,NL
215,216,697  - YAMAMOTO Takefumi,SEH,117,32:05:07,13:03:13,JP
216,217,748  - SIMARD Yann,SEH,118,32:05:44,13:03:50,FR
217,218,1010  - BARBER DOMENECH Enrique TRAIL SERRA VERNISSA,V1H,68,32:07:53,13:05:59,ES
218,219,1009  - KENNEDY Matthew,V1H,69,32:09:31,13:07:37,GB
219,220,767  - ŠTVERÁK Tomáš MONTURA CZECH TEAM,ESH,3,32:09:54,13:08:00,CZ
220,221,576  - COLOMBO Matteo VALETUDO SKYRUNNING ITALIA RACER / TECNICA TEAM ITALIA,SEH,119,32:10:50,13:08:56,IT
221,222,871  - BOAGLIO Lelio VALETUDO SKYRUNNING ITALIA,V2H,8,32:10:51,13:08:57,IT
222,223,157  - CHIALVO Martina,SEF,18,32:10:54,13:09:00,IT
223,224,621  - GARCIA GUTIERREZ Miguel Angel AIIIIIIIADELANTE TEAM,V2H,9,32:11:39,13:09:45,ES
224,225,1234  - DUNIAGUE Julien,SEH,120,32:12:01,13:10:07,FR
225,226,909  - THIEBAUT Romain POMPIER DE MEAUX,SEH,121,32:14:40,13:12:46,FR
226,227,966  - TAUBER Egon,V2H,10,32:17:24,13:15:30,IT
227,228,2902  - KRAMER Lord Jens,SEH,122,32:17:25,13:15:31,IT
228,229,464  - CATHERINE Gil,V1H,70,32:20:27,13:18:33,FR
229,230,783  - BARRAS Vincent fartleck.com,V1H,71,32:20:33,13:18:39,CH
230,231,798  - CAVERT DE LA TOUR Gilles,V2H,11,32:25:48,13:23:54,FR
231,232,691  - ETCHEVERRY Fernando,V2H,12,32:26:02,13:24:08,CL
232,233,710  - WIECKOWSKI Mariusz WWW.WOJTEKNADOLSKI.PL,V1H,72,32:26:24,13:24:30,PL
233,234,898  - MIYAGI Stefan EXITO GIPFELSTURMER,V1H,73,32:27:53,13:25:59,DE
234,235,644  - WOODLAND Emily,SEF,19,32:28:37,13:26:43,GB
235,236,790  - RETEA Claudiu TRUPA LUI FANE,SEH,123,32:30:44,13:28:50,RO
236,237,1006  - DONISCHAL Philippe CCA ROUFFACH,V1H,74,32:31:54,13:30:00,FR
237,238,889  - GOGUET Jeremy,SEH,124,32:34:39,13:32:45,FR
238,239,1495  - DA SILVA SANTA MARTA Emmanuel,SEH,125,32:34:43,13:32:49,FR
239,240,873  - NOGUCHI Shota TAISANBOKU CLUB,SEH,126,32:36:33,13:34:39,JP
240,241,405  - ATZENI Laurie TEAM ENDURANCE SHOP13,SEF,20,32:37:17,13:35:23,FR
241,242,678  - MOREL Johann,SEH,127,32:38:26,13:36:32,FR
242,243,1169  - COCHETEL Raphael JAMBES DE BACCHUS,V1H,75,32:42:34,13:40:40,FR
243,244,166  - SANTOS SOUSA Lucinda TEAM PROZIS TRAIL,V1F,8,32:44:01,13:42:07,PT
244,245,699  - HUBNER Falk,V1H,76,32:44:52,13:42:58,DE
245,246,100  - SUGA Satoru THE NORTH FACE,SEH,128,32:45:28,13:43:34,JP
246,247,433  - CARLE Nicolas,SEH,129,32:47:07,13:45:13,FR
247,248,778  - MATELLANES Oscar NAVARRA,V1H,77,32:47:52,13:45:58,ES
248,249,1152  - GUMULINSKI Jakub,SEH,130,32:52:52,13:50:58,PL
249,250,638  - NURIS Vincent SALTA BARTAS,SEH,131,32:56:56,13:55:02,FR
250,251,136  - NAMKUNG Evan,SEH,132,32:57:30,13:55:36,US
251,252,145  - JUNG Frédéric OCT 55,V1H,78,32:58:39,13:56:45,FR
252,253,1671  - BIGNOT Rodolphe,SEH,133,32:59:25,13:57:31,FR
253,254,485  - SCHRAM Hendrik,V1H,79,33:00:28,13:58:34,NL
254,255,958  - PETHE Micha TRAILRUNNING ALBULA,SEH,134,33:00:48,13:58:54,DE
255,255,1054  - DOSCH Damian ALD-CHARITY,SEH,134,33:00:48,13:58:54,CH
256,257,1144  - LAPALUS Jean-Christophe,V1H,80,33:01:26,13:59:32,FR
257,258,1435  - STAEHLE Nicolas,SEH,136,33:03:19,14:01:25,FR
258,259,821  - QUINTANA BAEZ Oliverio ARISTA,V1H,81,33:05:16,14:03:22,ES
259,260,934  - RICHARDSON Andrew SLEAFORD STRIDERS,V2H,13,33:05:43,14:03:49,GB
260,261,825  - HEINE Patrick,SEH,137,33:09:22,14:07:28,US
261,262,657  - DELEZE Julien TEAM HOKA SUISSE / RIDE SPIRIT,SEH,138,33:10:26,14:08:32,CH
262,263,1332  - CHARLET Nicolas CAP BOLLENE,V1H,82,33:13:29,14:11:35,FR
263,264,877  - LYNDON Tim NRG,SEH,139,33:16:26,14:14:32,AU
264,265,471  - GUIBERTEAU Julien,SEH,140,33:18:58,14:17:04,FR
265,266,107  - MEHL Lisa GORE RUNNING WEAR,SEF,21,33:20:31,14:18:37,DE
266,267,612  - WANG Xiaolin Tecnica Trailrunning Team,V1H,83,33:22:29,14:20:35,CN
267,268,1028  - LARSSON Bo,SEH,141,33:23:26,14:21:32,DK
268,269,902  - LUIS GONZALEZ Marcos Javier MADERAS SANTANA,V1H,84,33:25:54,14:24:00,ES
269,270,1282  - STAITE Richard,V1H,85,33:26:36,14:24:42,GB
270,271,151  - TROUP Anna TRAIL RUNNING ASSOCIATION,V1F,9,33:26:38,14:24:44,GB
271,272,839  - URAMEK Grzegorz,V1H,86,33:26:49,14:24:55,PL
272,273,470  - KRUTKRONGCHAI Knattapisit AIA VITALITY,V1H,87,33:27:27,14:25:33,TH
273,274,1117  - HATALA Mariusz BB RUNNERS,SEH,142,33:28:57,14:27:03,PL
274,275,1285  - KAPETANOVIC Tomislav,V1H,88,33:29:29,14:27:35,HR
275,276,2869  - DEGIORGIO Ruben AGONES SFC,SEH,143,33:31:43,14:29:49,MT
276,277,1049  - PRADES BELTRÁN Carlos,V1H,89,33:31:54,14:30:00,ES
277,278,415  - LALLEMAND Regis ASRHV,V1H,90,33:32:13,14:30:19,FR
278,279,466  - HILLERSTROM Patrik GUDO SK,V1H,91,33:32:42,14:30:48,SE
279,279,806  - WEBB Oliver,V1H,91,33:32:42,14:30:48,GB
280,281,649  - CHIRAT Jean Marc,SEH,144,33:40:32,14:38:38,FR
281,282,1100  - L'AZIRI Ismael CENTRE EXTA. CALLUS,V1H,93,33:40:54,14:39:00,ES
282,283,955  - KOCH Roberto,SEH,145,33:41:17,14:39:23,AR
283,284,1030  - MARCHAND Michel,SEH,146,33:41:58,14:40:04,FR
284,285,741  - BRAÑA LOPEZ Juan Manuel FORMA-TRAIL,SEH,147,33:42:22,14:40:28,ES
285,286,986  - MISLEY Francesco TEAM MUD AND SNOW,SEH,148,33:44:14,14:42:20,IT
286,287,1315  - DRUMEZ Nicolas,SEH,149,33:44:48,14:42:54,FR
287,288,674  - HERTZ Craig,SEH,150,33:44:50,14:42:56,US
288,289,1044  - CZEKAJ Maciej EBS SIEBIEGA CK,SEH,151,33:44:57,14:43:03,PL
289,290,1274  - GOGGI Francesco,V1H,94,33:48:13,14:46:19,IT
290,291,843  - DESHAIES Eric,V1H,95,33:49:46,14:47:52,CA
